34809725,5.0
30352998,2.1
30257170,7.1
19945757,8.4
35182891,9.6
4082101,7.0
34930756,6.2
25798411,9.1
25704577,8.1
25806460,5.8
30472706,8.2
34446715,7.4
4861627,8.5
34926135,5.6
4822829,6.9
34777993,7.2
3213270,6.5
26273481,8.0
27101874,8.6
24859095,5.4
25815426,7.7
27089264,6.2
6982609,7.6
25931246,5.7
30219684,8.5
26820769,7.6
26932873,8.1
25965924,9.1
6436977,8.1
6968180,8.1
34973638,6.7
26685413,8.5
30306597,8.3
19425128,5.7
33218430,5.8
25821622,8.6
3287578,6.1
7056398,5.9
27605669,7.8
34457952,6.1
4883258,6.1
26388342,7.2
26416169,7.4
4817024,5.7
30359003,4.4
34865445,6.7
25947426,8.9
5289186,8.0
26849308,6.7
34969130,9.1
27202765,7.2
25823637,7.0
26334993,9.2
34906688,8.9
26581251,8.6
6129642,7.8
26717812,7.8
3077734,6.7
25723905,6.5
27160688,6.3
27040825,5.5
24869824,5.4
30425483,4.8
30187617,4.2
6518721,3.9
30312425,9.3
26873005,8.7
35143073,8.2
26688574,7.9
30150641,7.6
25881595,7.6
21937439,6.4
34863241,6.1
10604227,5.4
10567489,8.8
26235257,8.7
30447451,8.1
26306980,7.4
25811030,7.9
26688575,7.8
25917236,7.6
34453221,7.3
30318245,6.1
2998456,5.2
3824500,4.4
26292071,4.3
30464852,9.5
6309377,9.3
34969431,9.1
34676682,8.8
27068887,8.4
27055607,8.2
27109389,8.1
10749985,7.7
26301742,7.2
10533890,7.2
25773294,7.0
25843199,6.8
5501712,6.6
34926605,6.4
4023433,6.2
34456087,6.1
30141676,5.5
25812640,4.9
30359005,4.2
6037981,8.4
26939903,8.4
30161289,8.4
26425002,8.0
25964199,7.9
33477284,7.8
3811356,7.6
26942569,7.3
25792608,7.0
34892447,6.9
4300641,6.3
27597020,6.2
10521670,6.0
4310059,5.8
10546007,5.6
30257615,5.3
30331965,5.1
25845985,4.2
35064279,9.6
26691373,9.3
19973828,8.4
33392790,8.0
5153874,7.9
26835829,7.7
6873824,7.4
5908527,7.2
35184580,7.0
10531201,6.9
25894468,6.8
5951292,6.5
30479817,6.2
24754090,6.2
26176503,5.2
30413123,5.0
30488222,4.8
25816252,4.4
26965189,3.5
26435918,2.9
30156995,8.8
34809304,8.6
26755982,8.2
4724586,7.8
4241887,7.6
26727369,7.6
4995724,7.6
30177684,7.5
26600330,7.5
30274899,7.3
27115485,7.3
6755223,6.9
4919151,6.9
3592845,6.7
25730893,6.7
25728583,6.5
22518875,6.3
24855035,6.2
27039398,6.1
26751897,6.0
6313287,5.2
26895960,8.9
26922992,8.7
5258869,8.1
26594405,7.4
26691317,7.4
